,palavra,rec,pont
1136,fenda,5,0.03826128961857244
1426,tstat,9,0.03824237319514365
5218,macroscópica,2,0.03813477431242394
5220,anatômico,2,0.03813477431242394
6010,hipercomplexas,2,0.03813477431242394
445,flynn,27,0.038117538382217236
3551,univac1,1,0.03804608879076714
3549,edsac1,1,0.03804608879076714
3550,701,1,0.03804608879076714
7480,matizes,2,0.03804608879076714
3547,1-bit,1,0.03804608879076714
3553,issue-when,1,0.03804608879076714
3555,ready,1,0.03804608879076714
3548,n-bit,1,0.03804608879076714
1521,fft,23,0.038008305341472905
396,índice,6,0.037875666757667015
8408,botânico,12,0.03783496169483054
4,física,15,0.03782005550198836
5158,clínico,2,0.03769543359453887
5194,dendríticas,2,0.03769543359453887
1129,sulcos,7,0.037675464894041936
4549,erro,26,0.037664198690146054
1372,usando,7,0.037622827467747914
3474,operandos,4,0.0376032624970567
1373,protocolo,13,0.03756752207231064
4858,treinados,4,0.03754220026206271
2932,segredos,2,0.0375225187615364
2885,stretch,2,0.0375225187615364
2884,lançou,2,0.0375225187615364
3085,portos,3,0.03745116066351149
6016,tiras,7,0.03741907839600942
617,v1,93,0.0373956362303799
1542,rígido,9,0.03737975960655951
3188,staran,3,0.03732023859062604
995,vetorial,21,0.03726856516855697
1006,cray,35,0.03713497531475797
3359,cosmic,3,0.037124906893074475
6584,visitado,2,0.03709709337875254
5851,sub-áreas,4,0.03701632698664045
278,primate,2,0.037013163303235
273,parallelism,2,0.037013163303235
293,objectives,2,0.037013163303235
6709,logotipo,4,0.03697006331341328
3196,burroughs,3,0.036963677936023856
7645,ed,10,0.03686310528881569
3568,conectado,7,0.03685965116842174
7055,megabits/s,4,0.03672972170471775
7056,extremidade,4,0.03670463354366295
7595,intenso,1,0.03668120668168132
7730,282,1,0.03668120668168132
5770,hemisfério,13,0.03666837879378005
5560,raios,7,0.03664919578176782
7120,fila,6,0.03662286868119237
1374,arquivo,23,0.036614448802209584
4674,hábil,2,0.03659914581662163
4634,telas,2,0.03659914581662163
6540,ltm,4,0.036506069021442225
2446,supercomputadores,10,0.03643748538789336
2463,transistores,6,0.03640188200538103
5665,vermelho,9,0.03638939273838527
3329,serviços,3,0.0363159951773805
1850,seres,26,0.03623561935184429
407,1.5,17,0.03622916498662865
5448,membranas,2,0.03619428800891564
5468,hiperpolarização,2,0.03619428800891564
5469,pós-sináptico,2,0.03619428800891564
5504,mielinizadas,2,0.03619428800891564
7779,procurada,2,0.03619428800891564
450,instrução,58,0.03613531964945568
8362,biodiversidade,6,0.036120796310581044
3082,serviço,6,0.03607060474725484
583,retina,130,0.03606478079420492
8311,8.12b,2,0.036034841806233196
8318,positiva,2,0.036034841806233196
8315,logarítmico,2,0.036034841806233196
8310,8.12a,2,0.036034841806233196
2656,cache,4,0.03597153161880253
9446,andrew,5,0.035887070558934545
4306,compartilhadas,4,0.03576559109337093
1031,2.14,3,0.0357364938657131
1646,7.43,4,0.035673734389096275
8517,brasileira,3,0.03558088674341671
8209,jpeg,4,0.03557819402021467
1460,3x3,15,0.035565218260152506
7515,po,5,0.035552833126394574
1032,j90,5,0.035457512095745304
1687,8.7,9,0.03542323247989821
5555,córnea,4,0.03526313426699746
1612,7.34,3,0.035256394869797564
1631,7.38,4,0.035219053965439256
1558,7.21,4,0.03521871166119865
1056,duncan,20,0.035168919743283164
1720,8.15,4,0.03510799828603771
1360,configurado,4,0.03508258172920299
